0,limited,2
1,bidding,1
2,unhyphenated,1
3,consolidated,1
4,dynamic,1
5,synonymously,1
6,four,1
7,facilities,2
8,consists,1
9,oldest,2
10,cyprus,1
11,localized,3
12,whose,1
13,fronts,1
14,pedro,2
15,chinese,5
16,themes,1
17,civilian,1
18,segments,1
19,presents,1
20,nominal,3
21,under,6
22,co-operation,2
23,regional,2
24,connects,1
25,govern,2
26,affect,1
27,ɑ,1
28,elevations,2
29,school,7
30,skills,3
31,cause,1
32,companies,1
33,humidity,1
34,persisted,1
35,initialis,1
36,46°,1
37,leaders,1
38,direct,2
39,necessarily,1
40,surrounding,2
41,second,7
42,subordinate,2
43,estimated,3
44,even,2
45,established,2
46,captain,1
47,preferences,1
48,cooking,2
49,near,3
50,asia,3
51,reasoning,1
52,usenet,1
53,aggression,1
54,above,2
55,new,9
56,officially,4
57,deemed,1
58,statehood,1
59,seventh,3
60,never,2
61,here,1
62,hundreds,2
63,studio,1
64,active,1
65,100,3
66,celebration,1
67,35th,1
68,study,9
69,juana,1
70,analysts,1
71,military,6
72,casino,1
73,settled,1
74,ethnographer,1
75,attractor,1
76,secure,1
77,classification,3
78,norse,1
79,objectively,1
80,county,22
81,6°,1
82,total,2
83,unit,1
84,chambler,1
85,metropolitan,8
86,would,3
87,army,1
88,until,6
89,indians,1
90,world's,5
91,orthography,1
92,music,5
93,therefore,1
94,type,2
95,los,20
96,megalopolis,1
97,successful,1
98,benefiting,1
99,officio,1
100,wars,2
101,charlemagne's,2
102,effect,1
103,separates,1
104,biotic,1
105,93,1
106,inhabited,2
107,casualties,2
108,must,1
109,1990,1
110,1993,1
111,word,10
112,1994,2
113,1996,1
114,mm,1
115,1998,1
116,work,3
117,mi,4
118,entertained,2
119,theories,1
120,geometry,1
121,era,4
122,michonne,1
123,revenues,1
124,root,1
125,example,12
126,estate,1
127,household,2
128,organized,1
129,earldom,1
130,centered,1
131,"10,000",3
132,hyphenated,1
133,kingdoms,1
134,story,1
135,ceremony,1
136,end,2
137,a-side,1
138,inhabitants,1
139,feature,1
140,how,1
141,hot,2
142,currents,1
143,widespread,1
144,beach,2
145,1752,1
146,dialect,2
147,oceans,1
148,beauty,3
149,after,12
150,law,1
151,types,2
152,third,3
153,headquarters,1
154,presiding,1
155,toluca,1
156,greek,10
157,18th,1
158,things,1
159,plumbing,1
160,operate,1
161,kizh,1
162,wind,1
163,operations,1
164,sprawling,3
165,cession,1
166,extents,1
167,office,5
168,initiums,1
169,over,21
170,vary,1
171,london,1
172,partisans,1
173,before,6
174,fir,1
175,personal,1
176,condado,1
177,writing,2
178,destroyed,1
179,damascus,1
180,production,5
181,differently,1
182,weeks,1
183,split,1
184,then,4
185,them,7
186,belarus,1
187,affected,1
188,tourist,1
189,symbolic,1
190,grafschaft,1
191,break,1
192,band,3
193,effects,2
194,they,18
195,schools,2
196,washing,1
197,angelology,1
198,tourism,1
199,bank,4
200,30°,1
201,germanic,2
202,upper-middle,1
203,bosnia,1
204,jórvík,1
205,wooden,1
206,each,4
207,demarcations,1
208,exurbs,1
209,second-most,1
210,side,14
211,mean,3
212,logs,1
213,independent,1
214,series,2
215,taught,1
216,trading,1
217,"2,500",1
218,hosted,1
219,array,1
220,merchants,1
221,islanders,1
222,network,1
223,god,2
224,tales,1
225,crucial,1
226,strangers,1
227,millennium,3
228,5th-century,2
229,reader,1
230,medicine,1
231,newly,1
232,size,2
233,independence,7
234,perception,1
235,rehearsed,1
236,eternal,1
237,free,1
238,cabrillo,17
239,aboriginal,1
240,management,1
241,formation,1
242,people's,2
243,nolan's,1
244,incorporates,1
245,enormous,1
246,district,1
247,suburb,1
248,professions,1
249,ritual,1
250,days,6
251,bears,1
252,iso,2
253,incorporated,1
254,arrived,2
255,cleaning,1
256,polyhedron,1
257,longue,1
258,already,2
