ID,Source,Target,Weight
0,iraq,by the,3
1,iraq,of the united,1
2,iraq,from,5
3,iraq,roman,1
4,iraq,kawliya,1
5,iraq,yazidis,1
6,iraq,and the,2
7,iraq,held,1
8,iraq,fighters,1
9,iraq,al-arab,1
10,iraq,through,1
11,iraq,ottoman,2
12,iraq,its,1
13,iraq,removed,1
14,iraq,of the,3
15,iraq,northern,1
16,iraq,95,1
17,iraq,insurgency,1
18,iraq,encompasses,1
19,iraq,bordered,1
20,iraq,created,1
21,iraq,languages,1
22,iraq,to,3
23,iraq,millennium,1
24,iraq,rashidun,1
25,iraq,under,2
26,iraq,uruk,1
27,iraq,include,1
28,iraq,2011,1
29,iraq,alluvial,1
30,iraq,southwest,1
31,iraq,kingdom,2
32,iraq,assyrian,1
33,iraq,around,1
34,iraq,government,1
35,iraq,read,1
36,iraq,hussein's,1
37,iraq,between,1
38,iraq,monarchy was,2
39,iraq,arab,1
40,iraq,baghdad,1
41,iraq,were,2
42,iraq,mandate,1
43,iraq,sunni,1
44,iraq,1958,1
45,iraq,overthrown,1
46,iraq,babylonian,1
47,iraq,northwestern,1
48,iraq,58,1
49,iraq,parthian,1
50,iraq,civilisation,1
51,iraq,median,1
52,iraq,these,1
53,iraq,miles,1
54,iraq,saudi,1
55,iraq,sèvres,1
56,iraq,yezidism,1
57,iraq,ayyubid,1
58,iraq,referred,1
59,iraq,often,1
60,iraq,mandeans,1
61,iraq,akkadian,1
62,iraq,spilled,1
63,iraq,authority,1
64,iraq,rivers,3
65,iraq,sumerian,1
66,iraq,1921,1
67,iraq,are,3
68,iraq,of iraq,3
69,iraq,empire,1
70,iraq,nations,1
71,iraq,the tigris and euphrates,2
72,iraq,empires,2
73,iraq,established,1
74,iraq,afsharid,1
75,iraq,has,2
76,iraq,kuwait,1
77,iraq,since,1
78,iraq,asia,1
79,iraq,ended,1
80,iraq,saddam,1
81,iraq,cradle,1
82,iraq,zagros,1
83,iraq,capital,1
84,iraq,league,1
85,iraq,officially,1
86,iraq,independence,1
87,iraq,measuring,1
88,iraq,mandeanism,1
89,iraq,iran,1
90,iraq,power,1
91,iraq,bc,1
92,iraq,demarcated,1
93,iraq,million,1
94,iraq,here,1
95,iraq,notably,1
96,iraq,southeast,1
97,iraq,coastline,1
98,iraq,groups,1
99,iraq,others,1
100,iraq,iraq was,3
101,iraq,yarsan,1
102,iraq,by,1
103,iraq,multi-party,1
104,iraq,gained,1
105,iraq,on,1
106,iraq,part of the,1
107,iraq,safavid,1
108,iraq,jumhūrīyyat,1
109,iraq,region,1
110,iraq,citizens,1
111,iraq,36,2
112,iraq,british,1
113,iraq,mesopotamian,1
114,iraq,range,1
115,iraq,aɪˈræk,1
116,iraq,historically,1
117,iraq,achaemenid,1
118,iraq,syria,1
119,iraq,country's,1
120,iraq,south,2
121,iraq,first,1
122,iraq,major,1
123,iraq,fertile,1
124,iraq,presence,1
125,iraq,civil,1
126,iraq,successive,1
127,iraq,as the,2
128,iraq,shatt,1
129,iraq,turkey,1
130,iraq,city,1
131,iraq,cities,1
132,iraq,assyrians,1
133,iraq,area,1
134,iraq,west,1
135,iraq,create,1
136,iraq,ba'ath party,2
137,iraq,two,1
138,iraq,been,1
139,iraq,christianity,1
140,iraq,circassians,1
141,iraq,live,1
142,iraq,of,5
143,iraq,until,1
144,iraq,was,2
145,iraq,borders,1
146,iraq,kurds,1
147,iraq,arabs,1
148,iraq,main,1
149,iraq,shia,1
150,iraq,north,1
151,iraq,komari,1
152,iraq,mostly,1
153,iraq,eastern,1
154,iraq,continued,1
155,iraq,shabakis,1
156,iraq,but,1
157,iraq,the syrian,1
158,iraq,jordan,1
159,iraq,western,1
160,iraq,invasion,1
161,iraq,allies,1
162,iraq,an,2
163,iraq,with,2
164,iraq,present,1
165,iraq,1920,1
166,iraq,east,1
167,iraq,the iraqi,1
168,iraq,ɪˈræk,1
169,iraq,plain,1
170,iraq,socialist,1
171,iraq,official,1
172,iraq,elections,1
173,iraq,civilisations,1
174,iraq,into the,2
175,iraq,placed,1
176,iraq,near,1
177,iraq,country,2
178,iraq,mesopotamia,2
179,iraq,treaty,1
180,iraq,mongol,1
181,iraq,and,14
182,iraq,it was,2
183,iraq,organised,1
184,iraq,is,4
185,iraq,in,10
186,iraq,part of the syrian,1
187,iraq,states,1
188,iraq,umayyad,1
189,iraq,britain,1
190,iraq,and the iraqi,1
191,iraq,eraq,2
192,iraq,arabia,1
193,iraq,controlled,1
194,iraq,arabic,3
195,iraq,iraq's,1
196,iraq,as,1
197,iraq,parliamentary,1
198,iraq,mountain,1
199,iraq,end,1
200,iraq,by the united,1
201,iraq,2003,2
202,iraq,provide,1
203,iraq,began,1
204,iraq,that,1
205,iraq,when,1
206,iraq,armenians,1
207,iraq,write,1
208,iraq,also,2
209,iraq,run,1
210,iraq,republic,2
211,iraq,which,1
212,iraq,largest,1
213,iraq,to the,6
214,iraq,abbasid,1
215,iraq,war,1
216,iraq,1932,1
217,iraq,centre,1
218,iraq,modern,1
219,iraq,after,1
220,iraq,derived,1
221,iraq,intensified,1
222,iraq,muslims,1
223,iraq,mankind,1
224,iraq,significant,1
225,iraq,ethnic,1
226,iraq,1968,1
227,iraq,desert,1
228,iraq,turkmen,1
229,iraq,a,3
230,iraq,kurdish,3
231,iraq,land,1
232,iraq,sassanid,1
233,iraq,known as,1
234,iraq,home,1
235,iraq,6th,1
236,iraq,known as the,1
237,iraq,hellenistic,1
238,iraq,persian gulf,2
239,iraq,km,1
240,iraq,or,2
241,iraq,amounts,1
242,iraq,2005,1
243,iraq,american,1
244,iraq,the,15
245,iraq,divided,1
246,iraq,laws,1
